stem,start_frame,end_frame,duration_sec,context,mean_distance
20241115_Box_2_CFC_Day_2_(Context_C)_9010,5044,5055,0.4,C,23.752
20241115_Box_2_CFC_Day_2_(Context_C)_9010,5209,5220,0.4,C,24.082
20241115_Box_2_CFC_Day_2_(Context_C)_9010,5260,5273,0.47,C,24.498
20241115_Box_2_CFC_Day_2_(Context_C)_9010,5288,5294,0.23,C,24.236
20241115_Box_2_CFC_Day_2_(Context_C)_9012,17,23,0.23,C,23.774
20241115_Box_2_CFC_Day_2_(Context_C)_9012,38,46,0.3,C,23.707
20241115_Box_2_CFC_Day_2_(Context_C)_9012,49,56,0.27,C,23.4
20241115_Box_2_CFC_Day_2_(Context_C)_9012,133,138,0.2,C,23.321
20241115_Box_2_CFC_Day_2_(Context_C)_9012,534,540,0.23,C,23.887
20241115_Box_2_CFC_Day_2_(Context_C)_9012,1475,1483,0.3,C,23.197
20241115_Box_2_CFC_Day_2_(Context_C)_9012,1843,1849,0.23,C,23.372
20241115_Box_2_CFC_Day_2_(Context_C)_9012,2253,2267,0.5,C,23.512
20241115_Box_2_CFC_Day_2_(Context_C)_9012,2854,2861,0.27,C,23.737
20241115_Box_2_CFC_Day_2_(Context_C)_9012,3506,3516,0.37,C,24.403
20241115_Box_2_CFC_Day_2_(Context_C)_9012,3586,3595,0.33,C,23.834
20241115_Box_2_CFC_Day_2_(Context_C)_9012,3933,3944,0.4,C,23.773
20241115_Box_2_CFC_Day_2_(Context_C)_9012,3951,3962,0.4,C,23.485
20241115_Box_2_CFC_Day_2_(Context_C)_9012,4120,4131,0.4,C,24.18
20241115_Box_2_CFC_Day_2_(Context_C)_9012,4155,4187,1.1,C,24.293
20241115_Box_2_CFC_Day_2_(Context_C)_9012,4191,4230,1.33,C,24.735
20241115_Box_2_CFC_Day_2_(Context_C)_9012,4234,4245,0.4,C,23.637
20241115_Box_2_CFC_Day_2_(Context_C)_9014,201,215,0.5,C,24.422
20241115_Box_2_CFC_Day_2_(Context_C)_9014,696,726,1.03,C,24.676
20241115_Box_2_CFC_Day_2_(Context_C)_9014,741,759,0.63,C,23.489
20241115_Box_2_CFC_Day_2_(Context_C)_9014,1604,1616,0.43,C,23.195
20241115_Box_2_CFC_Day_2_(Context_C)_9014,1618,1624,0.23,C,23.601
20241115_Box_2_CFC_Day_2_(Context_C)_9014,1806,1824,0.63,C,23.871
20241115_Box_2_CFC_Day_2_(Context_C)_9014,2219,2231,0.43,C,24.152
20241115_Box_2_CFC_Day_2_(Context_C)_9014,2234,2239,0.2,C,24.009
20241115_Box_2_CFC_Day_2_(Context_C)_9014,2245,2250,0.2,C,23.917
20241115_Box_2_CFC_Day_2_(Context_C)_9014,2280,2287,0.27,C,23.151
20241115_Box_2_CFC_Day_2_(Context_C)_9014,2724,2730,0.23,C,23.605
20241115_Box_2_CFC_Day_2_(Context_C)_9014,2732,2738,0.23,C,23.527
20241115_Box_2_CFC_Day_2_(Context_C)_9014,2997,3012,0.53,C,23.769
20241115_Box_2_CFC_Day_2_(Context_C)_9014,3120,3139,0.67,C,23.576
20241115_Box_2_CFC_Day_2_(Context_C)_9014,3145,3153,0.3,C,23.366
